text,重量體積_mentioned,重量體積_score,重量體積_sentiment,充電速度_mentioned,充電速度_score,充電速度_sentiment,接口相容性_mentioned,接口相容性_score,接口相容性_sentiment,外觀材質_mentioned,外觀材質_score,外觀材質_sentiment,價格_mentioned,價格_score,價格_sentiment
[開箱測試]Xiaomi 行動電源 25000 212W-小米試用大隊,True,-0.8442919850349426,negative,True,-0.8442919850349426,negative,False,,,False,,,False,,
【開箱測試】Xiaomi 磁吸自帶線行動電源 10000mah 33W 便宜實用 但缺點明顯,False,,,True,-0.9073500037193298,negative,True,-0.9073500037193298,negative,False,,,True,0.2,neutral
雜牌的行動電源是不是比較容易壞…,False,,,False,,,False,,,False,,,False,,
ANKER台灣宣布召回行動電源 A1257 可全額退費 良心阿,False,,,False,,,False,,,False,,,False,,
可同時雙輸入的行動電源推薦,False,,,False,,,False,,,False,,,False,,
TEGIC 磁吸充電短線16cm 100w 專為磁吸行動電源設計充電線,False,,,True,-0.9234895706176758,negative,True,-0.9234895706176758,negative,True,-0.9234895706176758,negative,False,,
【開箱測試】A1664 Anker MagGo 超薄磁吸行動電源 10000mAh Qi2 15W 超薄 質感超好,True,0.2,neutral,True,-0.9888641834259033,negative,False,,,True,0.2,neutral,False,,
Anker A1259 533 Nano 10000mah 自帶線行動電源 ▏超有質感的行動電源,False,,,False,,,True,-0.9888238310813904,negative,True,0.2,neutral,False,,
小米行動電源25000 212W開箱,True,0.2,neutral,True,-0.9026806950569153,negative,False,,,False,,,False,,
請問要出國，現在有推薦的行動電源嗎？,False,,,False,,,False,,,False,,,False,,
行動電源充電問題,False,,,True,-0.5791093707084656,negative,False,,,False,,,False,,
PHILIPS飛利浦自帶三線快充行動電源。,False,,,True,0.2,neutral,True,-0.9447073340415955,negative,False,,,False,,
【開箱測試】立達國際 GIGASTONE MP-5000 GO 15W磁吸無線行動電源 5000mAh & CC-8800 240W 磁吸充電線,False,,,True,-0.894890308380127,negative,True,-0.894890308380127,negative,False,,,False,,
反推摩比亞MOBIA行動電源，會有相容性問題，想購買的人請三思,False,,,False,,,True,0.2,neutral,False,,,False,,
酷態科 CCC 證書認証行動電源,False,,,False,,,False,,,False,,,False,,
[ 開享 - 小米移動電源系列 ] Xiaomi 自帶線行動電源 10000 165W,True,0.2,neutral,True,-0.8942104578018188,negative,True,-0.8942104578018188,negative,False,,,False,,
CUKTECH酷態科20號行動電源25000 210W開箱,False,,,True,-0.8889358043670654,negative,False,,,False,,,False,,
【開箱測試】三星ITFIT 二合一無線充電行動電源5000mah 可充三星手錶,False,,,True,-0.9389138221740723,negative,True,-0.9389138221740723,negative,False,,,False,,
ASUS 100W/48W充電器 & 10500C行動電源 實充電壓/電流/瓦數監測 (feat. ZF8),False,,,True,-0.9395702481269836,negative,False,,,False,,,False,,
求推薦支援vivo 快充協議的行動電源,False,,,True,0.2,neutral,False,,,False,,,False,,
行動電源的線 好難用,False,,,False,,,True,-0.7755740880966187,negative,False,,,False,,
求推薦可以同時充三樣裝置的多功能行動電源,False,,,False,,,False,,,False,,,False,,
開箱｜Aukey Sling 20000mAh（PB-Y48）100W PD 快充筆電行動電源 - 大容量、大功率，就算筆電也能充！,True,-0.9394399523735046,negative,True,0.2,neutral,False,,,False,,,False,,
【開箱測試】ONPRO MagReact™ M1s 磁吸式行動電源 輕薄配件豐富 性能令人失望,True,0.2,neutral,False,,,False,,,False,,,False,,
【開箱測試】GUXON 巧方塊雙線行動電源 10000mAh 高顏值 自帶線,False,,,False,,,True,-0.9674146175384521,negative,False,,,False,,
MyPower MP-10500 大廠牌行動電源召回公告,True,-0.8314921259880066,negative,False,,,False,,,False,,,False,,
開箱｜Choetech B670 27000mAh PD140W 數位顯示快充行動電源 - 自帶功率顯示螢幕，更能隨行外出拿來充筆電！,False,,,True,0.2,neutral,False,,,False,,,False,,
【開箱測試】AUKEY Qi2 10000mAh ( PB-MS06)磁吸無線行動電源,False,,,False,,,True,-0.9080203771591187,negative,False,,,False,,
尋找21700電芯行動電源,False,,,False,,,False,,,False,,,False,,
有關最近行動電源燒起來的新聞,False,,,False,,,False,,,False,,,False,,
VOOC行動電源,False,,,False,,,False,,,False,,,False,,
ADAM 亞果元素 針對爆炸的行動電源發聲明稿了,False,,,False,,,False,,,False,,,True,-0.8942627906799316,negative
【開箱測試】idmix Q10 PRO III 10000mah磁吸無線行動電源｜自帶線材 一吸就走,False,,,False,,,True,-0.9027262330055237,negative,False,,,False,,
【開箱分享】new balance掛式防水行動電源 ▏自帶登山扣的行動電源,False,,,False,,,False,,,False,,,False,,
【開箱測試】GIGASTONE QP-10100W 10000mAh 3合1 無線快充行動電源,False,,,True,0.2,neutral,True,-0.910853385925293,negative,False,,,False,,
IDMIX Q10 Pro 3 & Q10 Pro 2 Qi2 磁吸無線行動電源,False,,,False,,,True,-0.8286519646644592,negative,False,,,False,,
有旁路模式的筆電行動電源嗎？,False,,,False,,,False,,,False,,,False,,
微開箱｜出國推薦行動電源｜seek PW-517,False,,,True,-0.9111999869346619,negative,False,,,False,,,False,,
請推輕巧行動電源(PD+QC快充),True,0.2,neutral,True,0.2,neutral,False,,,False,,,False,,
為什麼行動電源只有小米有支援小電流模式,True,0.2,neutral,False,,,False,,,False,,,False,,
【開箱測試】SIG SAUER 彈夾行動電源 真的超帥,False,,,False,,,False,,,False,,,False,,
PHILIPS小型行動電源開箱,True,0.2,neutral,False,,,False,,,False,,,False,,
開箱｜Choetech B750 Qi2 10000mAh MagSafe 磁吸支架三合一行動電源 - 質感與功能匯聚一身，三合一行動電源 CP 值之作！,False,,,False,,,False,,,True,0.2,neutral,True,-0.9841338992118835,negative
【開箱測試】Trozk 特洛克-BBCALL行動電源 ▏復古有型又好玩,False,,,False,,,False,,,False,,,False,,
【開箱測試】CUKTCH酷態科6號超級電能塊行動電源--小容量大功率,True,-0.9584000110626221,negative,False,,,False,,,False,,,False,,
【分享】三款行動電源心得 小米/Polybatt/Lapo,True,0.2,neutral,False,,,False,,,False,,,False,,
過年回老家幾天，家中的行動電源該如何放置?,False,,,False,,,False,,,False,,,False,,
行動電源膨脹(小米)，還能使用嗎?(內附圖),True,0.2,neutral,False,,,False,,,False,,,False,,
大家會買多功能的行動電源嗎?,True,-0.7141590118408203,negative,False,,,False,,,False,,,False,,
關於行動電源問題,False,,,False,,,False,,,False,,,False,,
小米手機的無線充電行動電源,True,0.2,neutral,True,-0.8962482810020447,negative,True,-0.8962482810020447,negative,False,,,False,,
多協議行動電源120W,False,,,True,-0.863023042678833,negative,False,,,False,,,False,,
開箱｜Choetech B701 10000mAh 數位顯示 PD30W 行動電源 - 自帶螢幕且 30W 快充，讓用戶免檢測器知道充電功率！,False,,,True,0.2,neutral,False,,,False,,,False,,
#開箱 第一顆不是贈品的行動電源-MEGA KING10000無線充,False,,,False,,,True,-0.8586632013320923,negative,False,,,False,,
【請益】小巧行動電源推薦 (MEGA KING/MOZTECH/LAPO),True,0.2,neutral,False,,,False,,,False,,,False,,
讓手機無線快充也能飆起來，TORRAS Ostand Qi2 10000mAh MagSafe旋轉支架磁吸行動電源,False,,,True,0.2,neutral,True,-0.5808030366897583,negative,False,,,False,,
"開箱｜TORRAS 5,000mAh 磁性便攜式充電器行動電源 - 金屬質感且自帶 360° 旋轉支架設計，輕薄款行動電源！",True,0.2,neutral,True,-0.9634111523628235,negative,False,,,True,0.2,neutral,False,,
行動電源使用室內110V充電充出燒焦味,False,,,True,-0.8960309028625488,negative,False,,,False,,,False,,
綠聯UGREEN能量湃Pro 48000mAh行動電源開箱,False,,,False,,,False,,,False,,,False,,
請問小米行動電源TypeC充電問題?,True,0.2,neutral,True,-0.615128755569458,negative,False,,,False,,,False,,
BEZALEL 倍加能 Prelude S MagSafe 磁吸無線行動電源 踩雷,False,,,False,,,True,-0.8726196885108948,negative,False,,,False,,
行動電源三合一好用嗎？？,False,,,False,,,False,,,False,,,False,,
TORRII SOLA太能充多功能行動電源：美型易攜，快充加持，支援設備多元,False,,,True,0.2,neutral,False,,,True,0.2,neutral,True,-0.9897472858428955,negative
給老婆的行動電源，當然也要PINK，外觀至上實用再說,False,,,False,,,False,,,True,-0.9935811758041382,negative,False,,
IDMIX CH09C｜專為現代旅人設計的多功能行動電源,False,,,False,,,False,,,True,-0.9526985883712769,negative,False,,
65W PD大功率輸出，是充電器也是行動電源，IDMIX MR CHARGER CH09C 一顆輕鬆搞定充電大小事,True,0.2,neutral,True,-0.9929540753364563,negative,False,,,False,,,False,,
"開箱｜充電神救援就用YOMIX 優迷小果充 20W 手錶磁吸口袋行動電源 - 輕裝上陣 5,000mAh 小體積，自帶充電頭的三合一行充！",True,0.2,neutral,True,-0.9552139639854431,negative,False,,,False,,,False,,
開箱 小米行動電源 10000 22.5W Lite,True,0.2,neutral,True,-0.9042308926582336,negative,False,,,False,,,False,,
SEEK PW-517 自帶雙接頭 行動電源 開箱,False,,,True,-0.9202854633331299,negative,False,,,False,,,False,,
BASEUS 倍思 10000mAh 磁吸無線快充行動電源,False,,,True,0.2,neutral,True,-0.9087305665016174,negative,False,,,False,,
多功能手機好夥伴～TORRAS Ostand Qi2 10000mAh MagSafe 旋轉支架行動電源,False,,,False,,,False,,,False,,,False,,
[心得] 反推亞果元素 Gravity 1 行動電源,False,,,False,,,False,,,False,,,True,-0.9273146390914917,negative
1K以下行動電源推薦,False,,,False,,,False,,,False,,,False,,
詢問有關行動電源的清潔方式,False,,,False,,,False,,,False,,,False,,
[心得]Lapo WT12 行動電源心得,False,,,True,-0.8274229764938354,negative,False,,,False,,,False,,
多合一行動電源 自帶typeC線 有沒有帶QC 快充,False,,,True,0.2,neutral,True,-0.6857050657272339,negative,False,,,False,,
【開箱測試】E-books B82 五合一LED免帶線行動電源 自帶17顆led燈珠,False,,,False,,,True,-0.9462941288948059,negative,False,,,False,,
"開箱｜【YOMIX 優迷】miPO 小旅充 20W 三合一多功能口袋行動電源 - 5,000mAh 自帶雙接頭可折疊行動電源，2 台同充 1 顆搞定！",True,0.2,neutral,True,-0.9888098835945129,negative,False,,,False,,,False,,
磁吸行動電源充電轉換率低到爆炸,False,,,True,-0.9038347005844116,negative,False,,,False,,,False,,
多合一行動電源 那自帶線有沒有可換快充 行動電源備用線,False,,,True,0.2,neutral,True,-0.6895889043807983,negative,False,,,False,,
京東商城自營自造的行動電源品質如何?,False,,,False,,,False,,,False,,,False,,
開箱｜iWALK TWINS 雙頭直插式行動電源 - 隨行 20W 口袋行動電源，USB-C / Lightning 創新可換頭設計！,False,,,True,-0.9192087650299072,negative,True,-0.9192087650299072,negative,True,-0.9192087650299072,negative,False,,
徵求行動電源收納袋的推薦名單,False,,,False,,,False,,,False,,,False,,
請問目前有可以磁吸無線充電和PD65W同時存在的行動電源產品嗎？,False,,,True,-0.651444137096405,negative,True,-0.651444137096405,negative,False,,,False,,
小米也要出能量棒 行動電源,True,0.2,neutral,False,,,False,,,False,,,False,,
跨越世代！iWalk Power Squid 小魷魚 免帶線PD快充行動電源,True,0.2,neutral,True,0.2,neutral,True,-0.9145245552062988,negative,False,,,False,,
"開箱｜【Choetech】B695 多功能自帶線 MagSafe 磁吸行動電源 - 10,000mAh 自帶雙頭充電線，為蘋果用戶打造，可同時為手機、手錶、耳機等 5 台裝置充電！",False,,,True,-0.9691363573074341,negative,True,-0.9691363573074341,negative,False,,,False,,
ANFAST閃極UPS多功能20W 5000mAh口袋寶快充行動電源(USB-C版)開箱,False,,,True,0.2,neutral,True,-0.9356286525726318,negative,False,,,False,,
無線充電行動電源？？,False,,,True,-0.8515188097953796,negative,True,-0.8515188097953796,negative,False,,,False,,
手機行動充電的新幫手-IDMIX Q10 Pro II磁吸無線行動電源，好用，快充，超質感,False,,,True,0.2,neutral,True,-0.993724524974823,negative,True,0.2,neutral,False,,
【開箱測試】isdt PB40 行動電源 TESTV聯名款 一款有APP的行動電源,False,,,False,,,False,,,False,,,False,,
行動電源無法充電,False,,,True,-0.944427490234375,negative,False,,,False,,,False,,
[已解決]請幫忙推薦行動電源,False,,,False,,,False,,,False,,,False,,
【開箱測試】虎大工業 BT-20戰術可換電池行動電源 ▏帥就完事了,True,-0.7446845769882202,negative,False,,,False,,,False,,,False,,
關於行動電源多合一充電疑問,False,,,True,-0.6898975968360901,negative,False,,,False,,,False,,
快充效能大提升『IDMIX MR CHARGER 10000 CH07 Pro 35W 雙線多功能五合一行動電源』,True,-0.9735523462295532,negative,True,0.2,neutral,True,-0.9735523462295532,negative,False,,,False,,
開箱｜【INTOPIC 廣鼎國際】雙線迷你快充行動電源 PW-117 - 自帶 USB-C 及 Lightning 雙線設計，9800mAh 輕巧隨身行充！,True,0.2,neutral,True,0.2,neutral,True,-0.9804000854492188,negative,True,-0.9804000854492188,negative,False,,
【開箱測試】宏晉積木迷你自帶線快充行動電源10000mah,False,,,True,0.2,neutral,True,-0.9441829919815063,negative,False,,,False,,
狂暴200W輸出！紫米20號行動電源 (QB826) 開箱&簡測分享,False,,,True,-0.8982692956924438,negative,False,,,False,,,False,,
【開箱測試】ONPRO MB-MF10PD 10000MAH快充行動電源,False,,,True,0.2,neutral,False,,,False,,,False,,
【開箱測試】LAPO WT-06C 二合一充電器行動電源 對比idmix ch10,False,,,True,-0.9276071786880493,negative,False,,,False,,,False,,
【開箱測試】GIGASTONE 10000mah PB7113 20W快充行動電源 平價好選擇,False,,,True,0.2,neutral,False,,,False,,,True,-0.9766488671302795,negative
【拆解測試】SAMSUNG ITFIT 自帶線掛繩式行動電源10000mAh,False,,,False,,,True,-0.92298424243927,negative,False,,,False,,
【開箱測試】IDMIX CH10 Chill豆腐 三合一行動電源,False,,,False,,,False,,,False,,,False,,
【測試】iWalk小魷魚10000s快充行動電源,True,0.2,neutral,True,0.2,neutral,False,,,False,,,False,,
【開箱測試】infoThink PD910智慧型快充行動電源 寶雅限定款,False,,,True,0.2,neutral,False,,,False,,,False,,
行動電源突然不能使用,False,,,False,,,False,,,False,,,False,,
【開箱測試】POLYWELL直插式隨身行動電源 可換接頭的行動電源,False,,,True,-0.9582016468048096,negative,False,,,False,,,False,,
一手掌握的多功能行動電源,False,,,False,,,False,,,False,,,False,,
請教行動電源帶去紐西蘭需要變壓器嗎？,False,,,False,,,False,,,False,,,False,,
【開箱】一手掌控3合一行動電源IDMIX MR CHARGER CH10 Chill 豆腐,False,,,False,,,False,,,False,,,False,,
請問無線行動電源的比較，請問可以比較推,False,,,False,,,True,-0.6101750731468201,negative,False,,,False,,
行動電源推薦,False,,,False,,,False,,,False,,,False,,
21700電芯行動電源的選擇,False,,,False,,,False,,,False,,,False,,
(開箱)POLYBATT磁吸 Magsafe 三用快充行動電源，輕薄短小好攜帶，手機的最佳能量助手,True,0.2,neutral,True,0.2,neutral,False,,,False,,,False,,
行動電源推薦,False,,,False,,,False,,,False,,,False,,
但都很亮    不用為反而反吧 || 用快10年     你還想怎樣,False,,,True,0.2,neutral,False,,,False,,,False,,
根據官方太陽能板充電0.8W ，從0~100% 要曬太陽55個小時。 以白天日照六小時來說，大概充個10%實際可能更低。 || 我i16 Pro差不多直曬 2～3 小時，可補個 3～7%，供你參考。 || 可以，雙 USB-A 5V/2.1A 輸出，我幾乎都手機＋相機一起充 || 很方便，白天曬太陽就能充電，好用！,True,-0.7395297884941101,negative,True,-0.989402174949646,negative,True,-0.9887511134147644,negative,False,,,False,,
對啊！我連Macbook都有弄！ 我放在Threads || 移動很方便！ || 我是用在MacBook Air跟iPad Air快沒電救援用！依照容量來看應該充不飽 || 對！你懂的 || 我覺得是很方便啦！移動時不會釣著尿袋  還可以用在MacBook Air上呢 || 買了2！哇噻！～我是不是該業配？？？ || 您太專業了！ || 這東西其實蠻多公版的吧🤔！剩下就要看品質了！,False,,,True,0.2,neutral,False,,,False,,,False,,
小米(https://www.mi.com/tw/support/safety-notice/)/ANKER(https://news.pts.org.tw/article/772762)。 || https://www.mi.com/tw/support/safety-notice/,True,0.2,neutral,False,,,False,,,False,,,False,,
真的一顆顆看喔，那不是很拖時間嗎?出境安檢會因為這個大排長龍吧 || 日本，標示不清的那顆我是沒打算帶了，不知道2013那顆會不會因為太老而被攔 || 2023跟2013那兩顆我不會帶去，只是想了解一下23這樣沒標容量，標示又有點模糊，以及13這樣老的電池，在安檢時是否會被特別關照 || 我就在想大機場還要一顆一顆看的話，不怕安檢塞爆嗎? || 選你正解，出國直接租比較省事了 || 嘿!我還真沒想,True,-0.769847571849823,negative,False,,,False,,,False,,,False,,
我是到中華電信買MEGA KING這牌子的10000準固態防爆行動電源，店員說這是台灣製造兩年保固，我就買了。用了充電速度快，無線充電也支援Qi2所以還很方便，隨機也附贈收納袋很方便。,False,,,True,0.2,neutral,True,-0.9936044812202454,negative,False,,,False,,
[讚]5 || 贊同5~,False,,,False,,,False,,,False,,,False,,
圖片上字體這麼好辨認 || 刪 || 不知道該取什麼名在淘寶搜尋貼上網址 不能直接打開-.- || 不知道該取什麼名去找集運倉庫就可以了 找到之後把集運倉庫地址貼上就可以購買 || 又不是越大越好，那款賣點是貼著薄，你把10000mAh跟手機一起拿著半小時試試 || bad2bad沒事幹麻把行動電源貼著手機用？當然是把手機充飽再用不是常識嗎？你沒聽說手機邊充電邊用傷手機嗎？,True,0.2,neutral,True,-0.9495072364807129,negative,False,,,False,,,False,,
PO 一下 momo 的購買證明啊 || 雖然中國很多山寨沒錯，但其實有很多是台灣人賣家，也不一定是大陸賣家 || ...別說太快，真的超多仿的 || 沒錯，行動電源沒多少錢，買了就用吧。陸版=仿版，仿版=陸版，沒差別啦，怕它自燃，就回收，或1元賣掉，強調陸版=仿版就好，買去用的人自己注意安全,True,-0.6250226497650146,negative,True,0.2,neutral,False,,,False,,,True,-0.9692422151565552,negative
是,False,,,False,,,False,,,False,,,False,,
這次新色真的很燒 || momo有賣喔 || 已經開賣了 你可以到momo看看歐 || 這大小真的很剛好 不然每次包包都放不下,True,-0.9783600568771362,negative,False,,,False,,,False,,,False,,
不是微溫～但也沒燙到不能摸，像是拿熱飯的碗，但是不會燙到手～卻又不會一直想久摸的程度＠＠ || 樓主這顆輸出規格5V2.1A，差不多10W而已....個人覺得10W就發熱，應該是有點問題...,False,,,True,-0.526398777961731,negative,False,,,False,,,False,,
5800,False,,,False,,,False,,,False,,,False,,
從香港到澳門屬於跨境旅遊，不是中國大陸境內航班，因此一般不需要3C標誌。澳門與香港有獨立的入境政策，目前沒有強制要求攜帶3C標誌。,True,-0.8073837161064148,negative,False,,,False,,,False,,,False,,
"感謝,我也買了torras用看看 || 難怪有人說安卓跟磁吸無緣或很難用,原來是這樣",False,,,False,,,False,,,False,,,False,,
感謝你,False,,,False,,,False,,,False,,,False,,
我沒有摔到，也破了，就在手機拔下來瞬間聽到碎裂聲。產品本身設計有問題，而且用玻璃很滑，根本就設計不良，反推產品+1 || 我也是玻璃背板莫名自己裂開磁吸充電也一樣 燙得誇張 應該對鋰電池壽命影響滿大的現在充電會用半導體散熱器幫這行動電源充電😂,True,-0.9878374338150024,negative,True,-0.9878374338150024,negative,False,,,True,-0.9878374338150024,negative,False,,
你所謂的快充指那些、通常商品標示22.5w、就是最大輸出、或是講講你的手機是哪型號的 || 官方寫USB-C 和自帶線最高 20W，USB-A 可以跑到 22.5W，快充沒毛病低 || 我是沒發生過過熱情況。頂多外殼溫溫的、不會燙手 || 可以帶上機艙=低於航空規範上限；加上飛利浦的產品標示很明確，符合國際航空規定，放心帶吧！,True,-0.9719974398612976,negative,True,0.2,neutral,True,-0.9719974398612976,negative,False,,,False,,
對！這顆 141g 很有感，背小包去演唱都不會肩膀痠痛XD || 沒有耶，我錄了一小時，手機背後只有微溫，不會燙手。 || 我個人覺得夠用，演唱會六小時＋回家剪片都還能撐，除非要長途旅行才會考慮帶大顆的,True,-0.9876603484153748,negative,False,,,False,,,False,,,False,,
同樣10000mah 18650要三顆 21700只要二顆 || 少寫一個0，已修正 || 真的便宜，而且不怕買到假貨 || +5 || GOOD~5 || 謝謝繼續努力,False,,,False,,,False,,,False,,,True,0.2,neutral
然後會忘記充電 || 謝謝誇獎,False,,,True,-0.5410087704658508,negative,False,,,False,,,False,,
"給他一個60w的充電速度應該就足夠使用 || shintaro可去看最新回覆的文章、有安克165w自帶線評測 || 但A1695實際上就只有雙路 3個以上會有2~3個裝置變成5V慢充 || 但A1695實際上就只有雙路 , 充3個以上會有2~3個裝置變成5V慢充 || yt有新的評測（對岸的），他說多台3以上不建議 || A1695實際上就只有雙路 , 充3個以上會有2~3個裝置變成5V慢充 ||",False,,,True,-0.5858368277549744,negative,True,-0.5858368277549744,negative,False,,,False,,
超爛，品質超不穩定 || 有喔，一個月至少都會輪一次,False,,,False,,,False,,,False,,,False,,
5,False,,,False,,,False,,,False,,,False,,
超猛5 || 最近電池軟包的盡量不要買,False,,,False,,,False,,,False,,,False,,
LG gram14’ || 個人覺得蠻堅固的,False,,,False,,,False,,,False,,,False,,
qazwsx613203你想表達什麼?👺 || qazwsx613203你想表達什麼?[偷笑] || 是的沒錯,False,,,False,,,False,,,False,,,False,,
謝謝,False,,,False,,,False,,,False,,,False,,
內文有說，兩科都是21700的電芯，我自己有買48 好用 || 拆解才知道 || 我手上是廠商送側的產品，已經還回去了，不過我在測試過程中並沒有發生這樣的狀況，不過有一種可能是溫度過高自動停止充電,False,,,True,-0.6515432596206665,negative,False,,,False,,,False,,
是電子零件大國而已，全部合在一起的話市場太小養不出來 || 沒有看到3個c標誌，就不行,True,-0.8441378474235535,negative,False,,,False,,,False,,,False,,
5 || 18650也燒過不少次,False,,,False,,,False,,,False,,,False,,
